street,lat,lon
Avenida Prefeito Severino Bezerra Cabral 218,-7.2278538,-35.8746845
Rua Aluisio Cunha Linha 50,-7.2371594,-35.8785662
Rua Cristina Procopio da Silva 62,-7.2364677,-35.878784
Rua Deputado Ascendino Moura 101,-7.2311999,-35.8768118
Rua Doutor Antonio Telha 235,-7.2288618,-35.8770351
Rua Doutor Antonio Telha 68,-7.2266243,-35.8743084
Rua Doutor Antonio Telha - Catole Campina Grande,-7.2278169,-35.8757053
Rua Honorio de Melo 240,-7.2317199,-35.876387
Rua Inacio Marques da Silva 434,-7.2313268,-35.8734633
Rua Joao Francisco Mota 64,-7.2356863,-35.8789664
Rua Luisa Bezerra Mota 246,-7.2380724,-35.8789364
Rua Olegario Mariano 139,-7.2291894,-35.8752586
Rua Otacilio Nepomuceno 76,-7.229473,-35.8766579
Rua Sebastiao Vieira da Silva 1273,-7.2377593,-35.8781178
Rua Vigario Calixto 1201,-7.2366729,-35.8794108
Avenida Barao Rio Branco 141,-7.2196447,-35.8883743
Avenida Dom Pedro II 119,-7.2207083,-35.8884384
Avenida Dom Pedro II 500,-7.2198366,-35.8917835
Avenida Presidente Getulio Vargas 210,-7.218849,-35.8870055
Avenida Presidente Getulio Vargas 271,-7.2189137,-35.887591
Avenida Presidente Getulio Vargas 395,-7.2186027,-35.8886794
Avenida Presidente Joao Pessoa 128,-7.2169355,-35.8869652
Rua Augusto Severo 71,-7.2181367,-35.8879182
Rua Capitao Joao de Sa 45,-7.2213255,-35.8757515
Rua Coronel Salvino Figueiredo 251,-7.2231224,-35.8796762
Rua Doutor Severino Cruz 411,-7.2229456,-35.8779045
Rua Elias Aforas 202,-7.2231559,-35.8796955
Rua Elias Aforas 67,-7.2217235,-35.8796868
Rua Felix Araujo 132,-7.2183154,-35.8864554
Rua Felix Araujo 48,-7.2183161,-35.8857509
Rua Joao da Mata 490,-7.2212759,-35.878598
Rua Manoel P. de Araujo 150,-7.221024,-35.8766227
Rua Manoel P. de Araujo 370,-7.218997,-35.8772512
Rua Pedro Alvares Cabral 129,-7.2199881,-35.8777561
Rua Quebra Quilos 399,-7.2212181,-35.8784341
Avenida Assis Chateaubriand 1334,-7.2399639,-35.8882959
Rua Acre 635,-7.237547,-35.8943324
Rua Edesio Silva 602,-7.2391592,-35.8926997
Rua Espirito Santo 1288,-7.2410167,-35.8916844
Rua Odon Bezerra 147,-7.2358568,-35.8921705
Rua Odon Bezerra 306,-7.2359324,-35.8935107
Rua Odon Bezerra 388,-7.2360167,-35.8942421
Rua Padre Pedro Serrao 207,-7.2385709,-35.8923707
Rua Padre Pedro Serrao 336,-7.2384229,-35.892943
Rua Padre Pedro Serrao 353,-7.2386466,-35.89318
Rua Riachuelo 455,-7.2368779,-35.8935878
Rua Riachuelo 847,-7.2404851,-35.8931358
Rua Riachuelo 930,-7.2413213,-35.893163
Rua Santa Catarina 1231,-7.2403263,-35.8908167
Rua Sergipe 1337,-7.2402849,-35.8901648
Rua Severino Pimentel 321,-7.2371522,-35.8943073
Rua Severino Pimentel 439,-7.2381014,-35.8942014
Rua Severino Pimentel 511,-7.2387352,-35.8941669
